en,de,description,file,hash
"%d entries deleted.","%d Einträge gelöscht.",,site/modules/Vox/ProcessVox.module.php,deebe0c652e9a9e9a1bd76cd037c2f38
"Allow guest entries","Gästebeiträge zulassen",,site/modules/Vox/Vox.module.php,e17b5dceea4debdb4ae478671d56db21
"Allow via browser fingerprint","Über Browser-Fingerabdruck zulassen",,site/modules/Vox/Vox.module.php,3cabbeff64a04a0d4aaccfafd9fd73c8
"Block comment panel mode",Blockkommentar-Panel-Modus,,site/modules/Vox/Vox.module.php,da0543e88dd5f79a5e121d5a3217bf39
Disabled,Deaktiviert,,site/modules/Vox/Vox.module.php,b9f5c797ebbf55adccdd8539a65a0241
Display,Anzeige,,site/modules/Vox/Vox.module.php,b9987a246a537f4fe86f1f2e3d10dbdb
"Enable photo uploads","Foto-Uploads aktivieren",,site/modules/Vox/Vox.module.php,85c1006e14988831815b67534febcd9f
"Entries approved.","Einträge genehmigt.",,site/modules/Vox/ProcessVox.module.php,69dbe1e3aed96f397a75cb8ffad37687
"Entries marked as spam.","Einträge als Spam markiert.",,site/modules/Vox/ProcessVox.module.php,0b2d7760f158e39c5f1990aa79f2181a
"Gamification — points","Gamification — Punkte",,site/modules/Vox/Vox.module.php,a1eda4c80ac05aa6b560c493897d1a4a
General,Allgemein,,site/modules/Vox/Vox.module.php,0db377921f4ce762c62526131097968f
"Guest voting",Gästeabstimmung,,site/modules/Vox/Vox.module.php,9073e5e4a9bc17d4284d8d5df2256590
"Guests must provide an email address to post.","Gäste müssen eine E-Mail-Adresse angeben, um zu posten.",,site/modules/Vox/Vox.module.php,d4285691e5240ff907704d6fc752d0b9
"Helpful / Not helpful (+1 / -1)","Hilfreich / Nicht hilfreich (+1 / -1)",,site/modules/Vox/Vox.module.php,04c5938b672e72d505cf4a7d26595c29
"How inline block discussions appear on the page.","Wie Inline-Blockdiskussionen auf der Seite erscheinen.",,site/modules/Vox/Vox.module.php,f6cf32eb423927b755639e8cc1513c21
"How new entries are handled before appearing publicly.","Wie neue Einträge behandelt werden, bevor sie öffentlich erscheinen.",,site/modules/Vox/Vox.module.php,c0c24e70d255cf2eb4a02e3102dcf33f
"Immediate publish","Sofort veröffentlichen",,site/modules/Vox/Vox.module.php,c242540bad5947ac7a20fb523657da29
"Initial comments shown","Anfänglich angezeigte Kommentare",,site/modules/Vox/Vox.module.php,89c4d1a2b20b6a0b27397508ad1b7c0e
"Inline — expands below content block","Inline — erweitert sich unterhalb des Inhaltsblocks",,site/modules/Vox/Vox.module.php,d553dc0c1e9ecc36d736987615522711
"Likes only (+1)","Nur Likes (+1)",,site/modules/Vox/Vox.module.php,df4320991733cefe1147c0e7858fd157
"Max file size (MB)","Maximale Dateigröße (MB)",,site/modules/Vox/Vox.module.php,80d4bcfbbcca2e8457d3dca436858a87
"Max photos per entry","Maximale Fotos pro Eintrag",,site/modules/Vox/Vox.module.php,467e8bd698dc4fa50b7c1d82f608726b
"Max posts per hour","Maximale Beiträge pro Stunde",,site/modules/Vox/Vox.module.php,181065a3a340a2d970068b086338cd63
"Min seconds between posts","Minimale Sekunden zwischen Beiträgen",,site/modules/Vox/Vox.module.php,df05df3ec0c2501090b66f6446589958
"Moderation mode",Moderationsmodus,,site/modules/Vox/Vox.module.php,f88b9bb526bde709e914d9dfe6c65b19
No,Nein,,site/modules/Vox/Vox.module.php,bafd7322c6e97d25b6299b5d6fe8920b
"Non-registered users can post reviews, questions and comments.","Nicht registrierte Benutzer können Bewertungen, Fragen und Kommentare veröffentlichen.",,site/modules/Vox/Vox.module.php,05f92a98e0cbfbc086e40a43b1e0941d
"Notification email",Benachrichtigungs-E-Mail,,site/modules/Vox/Vox.module.php,d5b501407738a0f21e63ea67ed1d64bf
"Number of comments pre-loaded before ""Show more"".","Anzahl der vorab geladenen Kommentare vor „Mehr anzeigen“.",,site/modules/Vox/Vox.module.php,3ee54d14846ada5583189a1ea00097c3
"Per user / guest. 0 disables the hourly limit.","Pro Benutzer / Gast. 0 deaktiviert die Stundenbegrenzung.",,site/modules/Vox/Vox.module.php,00a9e9ddef1151690acca5be0275eb98
"Per user / guest. 0 disables the interval limit.","Pro Benutzer / Gast. 0 deaktiviert die Intervallbegrenzung.",,site/modules/Vox/Vox.module.php,dcebde8b054e63de25661df0690d3a13
"Photo uploads",Foto-Uploads,,site/modules/Vox/Vox.module.php,37cda44b7bd96c5513c8afbcdc0211d0
"Points for answering a question","Punkte für das Beantworten einer Frage",,site/modules/Vox/Vox.module.php,f80c49df6277a81c7c4eddbdc8fe9cb9
"Points for posting a review / thread / question","Punkte für das Veröffentlichen einer Bewertung / eines Themas / einer Frage",,site/modules/Vox/Vox.module.php,a580c2f15c384b12f69f4db5c12df795
"Points per like received","Punkte pro erhaltenem Like",,site/modules/Vox/Vox.module.php,7dc75b91cc90b430ed42a93b3d5c4201
"Points when answer is marked best","Punkte, wenn die Antwort als beste markiert wird",,site/modules/Vox/Vox.module.php,d518bc1248f1277575bfb0a3768041fa
"Receive alerts for new pending entries and reports. Leave blank to disable.","Benachrichtigungen für neue ausstehende Einträge und Meldungen erhalten. Leer lassen zum Deaktivieren.",,site/modules/Vox/Vox.module.php,cd42bcc9bd78b09ba6061cc618df08c9
"Relative to site root. Directory will be created if it doesn't exist.","Relativ zum Site-Stammverzeichnis. Das Verzeichnis wird erstellt, falls es nicht existiert.",,site/modules/Vox/Vox.module.php,6bf59cc76b24562f9ced838164ddae82
"Require approval","Genehmigung erforderlich",,site/modules/Vox/Vox.module.php,b7490f1303f1cf4ea53fa18416951173
"Require email from guests","E-Mail von Gästen erforderlich",,site/modules/Vox/Vox.module.php,5fb33d2a14c0668bccefa2afd55de6d5
"Sidebar — floats beside active block","Seitenleiste — schwebt neben dem aktiven Block",,site/modules/Vox/Vox.module.php,18275cd447efd34ad421898af67c9b99
"Upload path",Upload-Pfad,,site/modules/Vox/Vox.module.php,afec020c0ca660ca0b0277509d191888
"Users can attach images to reviews and questions.","Benutzer können Bilder an Bewertungen und Fragen anhängen.",,site/modules/Vox/Vox.module.php,41d664be6304a08773f0e0b6d4ab6e3e
"Vote mode",Abstimmungsmodus,,site/modules/Vox/Vox.module.php,2f6173a5d99acc9e8a341230184e95aa
Voting,Abstimmung,,site/modules/Vox/Vox.module.php,b6fb89142b836f54bb0062e2bdce2e49
Vox,Vox,,site/modules/Vox/ProcessVox.module.php,baf069ea8ce565674e2bff0c0f0a069a
Yes,Ja,,site/modules/Vox/Vox.module.php,93cba07454f06a4a960172bbd6e2a435
"You do not have permission to access this page.","Sie haben keine Berechtigung, auf diese Seite zuzugreifen.",,site/modules/Vox/ProcessVox.module.php,d9bce6556723f03d444fc08de3ccb4db
